Config 1/10: hidden=256, lr=0.001, wd=0.0001, batch=32
Epoch 01 | train loss 0.3602, acc 83.97% | val loss 0.2691, acc 88.58%, F1 0.8980
Epoch 02 | train loss 0.2255, acc 90.74% | val loss 0.2350, acc 90.37%, F1 0.9176
Epoch 03 | train loss 0.1844, acc 92.55% | val loss 0.2372, acc 90.28%, F1 0.9169
Epoch 04 | train loss 0.1622, acc 93.54% | val loss 0.2087, acc 91.47%, F1 0.9264
Epoch 05 | train loss 0.1333, acc 94.81% | val loss 0.1922, acc 92.39%, F1 0.9313
Epoch 06 | train loss 0.1215, acc 95.37% | val loss 0.2013, acc 91.93%, F1 0.9256
Epoch 07 | train loss 0.1051, acc 95.77% | val loss 0.1889, acc 92.66%, F1 0.9350
Epoch 08 | train loss 0.0957, acc 96.35% | val loss 0.1774, acc 92.94%, F1 0.9364
Epoch 09 | train loss 0.0909, acc 96.51% | val loss 0.1871, acc 93.12%, F1 0.9383
Epoch 10 | train loss 0.0797, acc 97.00% | val loss 0.1823, acc 93.35%, F1 0.9397
Epoch 11 | train loss 0.0694, acc 97.32% | val loss 0.1967, acc 92.57%, F1 0.9339
Epoch 12 | train loss 0.0614, acc 97.73% | val loss 0.1779, acc 94.04%, F1 0.9464
Epoch 13 | train loss 0.0604, acc 97.95% | val loss 0.2032, acc 93.07%, F1 0.9385
Epoch 14 | train loss 0.0582, acc 97.96% | val loss 0.1824, acc 94.17%, F1 0.9487
Epoch 15 | train loss 0.0459, acc 98.57% | val loss 0.1653, acc 94.54%, F1 0.9512
Epoch 16 | train loss 0.0412, acc 98.64% | val loss 0.1869, acc 94.27%, F1 0.9482
Epoch 17 | train loss 0.0447, acc 98.35% | val loss 0.1794, acc 93.99%, F1 0.9462
Epoch 18 | train loss 0.0417, acc 98.62% | val loss 0.1961, acc 93.49%, F1 0.9417
Epoch 19 | train loss 0.0420, acc 98.66% | val loss 0.1622, acc 95.00%, F1 0.9562
Epoch 20 | train loss 0.0464, acc 98.47% | val loss 0.1862, acc 94.59%, F1 0.9523
Epoch 21 | train loss 0.0304, acc 99.17% | val loss 0.1759, acc 94.54%, F1 0.9516
